,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t6786,17917.004151094297,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-17887.21606
t6787,18397.162599999996,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18397.1626
t6788,18689.29822622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19004.45623
t6789,18543.255019999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18543.25502
t6790,17446.51915,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17446.51915
t6791,15990.2907,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15990.2907
t6792,14713.88638,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14713.88638
t6793,14251.37454758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13908.8115
t6794,13037.626146524555,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13327.57151
t6795,12956.17358,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12956.17358
t6796,13186.16880758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12843.60576
t6797,12784.126266524556,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13074.07163
t6798,14132.01338758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13789.45034
t6799,15236.52989,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15236.52989
t6800,15794.268696524556,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16084.21406
t6801,16843.328897584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16500.76585
t6802,16945.981628219983,143.37777468220963,-199.18527290220018,0.0,-0.0,0.0,0.0,0.0,0.0,-16890.17413
t6803,17010.43880622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17325.59681
t6804,17575.1858,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17575.1858
t6805,17621.027119999995,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17621.02712
t6806,17803.857559999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17803.85756
t6807,17880.78428,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17880.78428
t6808,18196.407667584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17853.84462
t6809,17389.755006524552,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17679.70037
t6810,17726.16222758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17383.59918
t6811,17964.773501094292,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-17934.98541
t6812,18262.523516222336,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18577.68152
t6813,18198.51235,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18198.51235
t6814,17192.370519999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17192.37052
t6815,15860.23872,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15860.23872
t6816,14599.91993,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14599.91993
t6817,13862.90926,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13862.90926
t6818,13336.5479,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13336.5479
t6819,13030.61205,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13030.61205
t6820,13269.444697584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12926.88165
t6821,13145.13411,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13145.13411
t6822,13908.20414,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13908.20414
t6823,14730.785376524556,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15020.73074
t6824,16018.654427584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-15676.09138
t6825,15848.930096524553,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16138.875459999997
t6826,16580.11705,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16580.11705
t6827,17318.091587584404,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16975.52854
t6828,17068.759659999996,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17068.75966
t6829,16659.682206524558,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16949.62757
t6830,16982.656499999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16982.6565
t6831,16942.97328,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16942.97328
t6832,16796.40678109429,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-16766.61869
t6833,16568.45597,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16568.45597
t6834,16894.295047584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16551.732
t6835,17293.240079999996,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17293.24008
t6836,17547.393460029092,315.15800377765703,-27.405043806752794,0.0,-0.0,0.0,0.0,0.0,0.0,-17835.14642
t6837,17565.329530921965,23.19562907803562,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17588.52516
t6838,16695.0121,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16695.0121
t6839,15386.42305,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15386.42305
t6840,14267.59687,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14267.59687
t6841,13592.10495,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13592.10495
t6842,13249.65413,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13249.65413
t6843,13016.42495,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13016.42495
t6844,13253.69181758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12911.12877
t6845,13057.08576,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13057.08576
t6846,13729.88877,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13729.88877
t6847,14843.40517,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14843.40517
t6848,15380.448386826767,264.7327231732319,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15645.18111
t6849,16517.20122758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16174.638179999998
t6850,16460.974950029096,315.15800377765703,-27.405043806752794,0.0,-0.0,0.0,0.0,0.0,0.0,-16748.72791
t6851,17123.653800921966,23.19562907803562,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17146.84943
t6852,17170.70509,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17170.70509
